index,model,dataset,horizon,seed,epochs,batch_size
141,PatchTST,ETTm1,336,3409,100,64
142,PatchTST,ETTm1,720,3407,100,64
143,PatchTST,ETTm1,720,3408,100,64
144,PatchTST,ETTm1,720,3409,100,64
145,PatchTST,ETTm2,96,3407,100,64
146,PatchTST,ETTm2,96,3408,100,64
147,PatchTST,ETTm2,96,3409,100,64
148,PatchTST,ETTm2,192,3407,100,64
149,PatchTST,ETTm2,192,3408,100,64
150,PatchTST,ETTm2,192,3409,100,64
151,PatchTST,ETTm2,336,3407,100,64
152,PatchTST,ETTm2,336,3408,100,64
153,PatchTST,ETTm2,336,3409,100,64
154,PatchTST,ETTm2,720,3407,100,64
155,PatchTST,ETTm2,720,3408,100,64
156,PatchTST,ETTm2,720,3409,100,64
157,PatchTST,Weather,96,3407,100,64
158,PatchTST,Weather,96,3408,100,64
159,PatchTST,Weather,96,3409,100,64
160,PatchTST,Weather,192,3407,100,64
161,PatchTST,Weather,192,3408,100,64
162,PatchTST,Weather,192,3409,100,64
163,PatchTST,Weather,336,3407,100,64
164,PatchTST,Weather,336,3408,100,64
165,PatchTST,Weather,336,3409,100,64
166,PatchTST,Weather,720,3407,100,64
167,PatchTST,Weather,720,3408,100,64
168,PatchTST,Weather,720,3409,100,64
169,PatchTST,Electricity,96,3407,100,16
170,PatchTST,Electricity,96,3408,100,16
171,PatchTST,Electricity,96,3409,100,16
172,PatchTST,Electricity,192,3407,100,16
173,PatchTST,Electricity,192,3408,100,16
174,PatchTST,Electricity,192,3409,100,16
175,PatchTST,Electricity,336,3407,100,16
176,PatchTST,Electricity,336,3408,100,16
177,PatchTST,Electricity,336,3409,100,16
178,PatchTST,Electricity,720,3407,100,16
179,PatchTST,Electricity,720,3408,100,16
180,PatchTST,Electricity,720,3409,100,16
181,PatchTST,ILI,24,3407,100,64
182,PatchTST,ILI,24,3408,100,64
183,PatchTST,ILI,24,3409,100,64
184,PatchTST,ILI,36,3407,100,64
185,PatchTST,ILI,36,3408,100,64
186,PatchTST,ILI,36,3409,100,64
187,PatchTST,ILI,48,3407,100,64
188,PatchTST,ILI,48,3408,100,64
189,PatchTST,ILI,48,3409,100,64
190,PatchTST,ILI,60,3407,100,64
191,PatchTST,ILI,60,3408,100,64
192,PatchTST,ILI,60,3409,100,64
193,PatchTST,ExchangeRate,96,3407,100,64
194,PatchTST,ExchangeRate,96,3408,100,64
195,PatchTST,ExchangeRate,96,3409,100,64
196,PatchTST,ExchangeRate,192,3407,100,64
197,PatchTST,ExchangeRate,192,3408,100,64
198,PatchTST,ExchangeRate,192,3409,100,64
199,PatchTST,ExchangeRate,336,3407,100,64
200,PatchTST,ExchangeRate,336,3408,100,64
201,PatchTST,ExchangeRate,336,3409,100,64
202,PatchTST,ExchangeRate,720,3407,100,64
203,PatchTST,ExchangeRate,720,3408,100,64
204,PatchTST,ExchangeRate,720,3409,100,64
205,PatchTST,Traffic,96,3407,100,8
206,PatchTST,Traffic,96,3408,100,8
207,PatchTST,Traffic,96,3409,100,8
208,PatchTST,Traffic,192,3407,100,8
209,PatchTST,Traffic,192,3408,100,8
210,PatchTST,Traffic,192,3409,100,8
211,PatchTST,Traffic,336,3407,100,8
212,PatchTST,Traffic,336,3408,100,8
213,PatchTST,Traffic,336,3409,100,8
214,PatchTST,Traffic,720,3407,100,8
215,PatchTST,Traffic,720,3408,100,8
216,PatchTST,Traffic,720,3409,100,8
217,TimesNet,ETTh1,96,3407,10,32
218,TimesNet,ETTh1,96,3408,10,32
219,TimesNet,ETTh1,96,3409,10,32
220,TimesNet,ETTh1,192,3407,10,32
221,TimesNet,ETTh1,192,3408,10,32
222,TimesNet,ETTh1,192,3409,10,32
223,TimesNet,ETTh1,336,3407,10,32
224,TimesNet,ETTh1,336,3408,10,32
225,TimesNet,ETTh1,336,3409,10,32
226,TimesNet,ETTh1,720,3407,10,32
227,TimesNet,ETTh1,720,3408,10,32
228,TimesNet,ETTh1,720,3409,10,32
229,TimesNet,ETTh2,96,3407,10,32
230,TimesNet,ETTh2,96,3408,10,32
231,TimesNet,ETTh2,96,3409,10,32
232,TimesNet,ETTh2,192,3407,10,32
233,TimesNet,ETTh2,192,3408,10,32
234,TimesNet,ETTh2,192,3409,10,32
235,TimesNet,ETTh2,336,3407,10,32
236,TimesNet,ETTh2,336,3408,10,32
237,TimesNet,ETTh2,336,3409,10,32
238,TimesNet,ETTh2,720,3407,10,32
239,TimesNet,ETTh2,720,3408,10,32
240,TimesNet,ETTh2,720,3409,10,32
241,TimesNet,ETTm1,96,3407,10,32
242,TimesNet,ETTm1,96,3408,10,32
243,TimesNet,ETTm1,96,3409,10,32
244,TimesNet,ETTm1,192,3407,10,32
245,TimesNet,ETTm1,192,3408,10,32
246,TimesNet,ETTm1,192,3409,10,32
247,TimesNet,ETTm1,336,3407,10,32
248,TimesNet,ETTm1,336,3408,10,32
249,TimesNet,ETTm1,336,3409,10,32
250,TimesNet,ETTm1,720,3407,10,32
251,TimesNet,ETTm1,720,3408,10,32
252,TimesNet,ETTm1,720,3409,10,32
