index,model,dataset,horizon,seed,epochs,batch_size,status
124,PatchTST,ETTh2,192,3407,100,64,pending
125,PatchTST,ETTh2,192,3408,100,64,pending
126,PatchTST,ETTh2,192,3409,100,64,pending
127,PatchTST,ETTh2,336,3407,100,64,pending
128,PatchTST,ETTh2,336,3408,100,64,pending
129,PatchTST,ETTh2,336,3409,100,64,pending
130,PatchTST,ETTh2,720,3407,100,64,pending
131,PatchTST,ETTh2,720,3408,100,64,pending
132,PatchTST,ETTh2,720,3409,100,64,pending
133,PatchTST,ETTm1,96,3407,100,64,pending
134,PatchTST,ETTm1,96,3408,100,64,pending
135,PatchTST,ETTm1,96,3409,100,64,pending
136,PatchTST,ETTm1,192,3407,100,64,pending
137,PatchTST,ETTm1,192,3408,100,64,pending
138,PatchTST,ETTm1,192,3409,100,64,pending
139,PatchTST,ETTm1,336,3407,100,64,pending
140,PatchTST,ETTm1,336,3408,100,64,pending
141,PatchTST,ETTm1,336,3409,100,64,pending
142,PatchTST,ETTm1,720,3407,100,64,pending
143,PatchTST,ETTm1,720,3408,100,64,pending
144,PatchTST,ETTm1,720,3409,100,64,pending
145,PatchTST,ETTm2,96,3407,100,64,pending
146,PatchTST,ETTm2,96,3408,100,64,pending
147,PatchTST,ETTm2,96,3409,100,64,pending
148,PatchTST,ETTm2,192,3407,100,64,pending
149,PatchTST,ETTm2,192,3408,100,64,pending
150,PatchTST,ETTm2,192,3409,100,64,pending
151,PatchTST,ETTm2,336,3407,100,64,pending
152,PatchTST,ETTm2,336,3408,100,64,pending
153,PatchTST,ETTm2,336,3409,100,64,pending
154,PatchTST,ETTm2,720,3407,100,64,pending
155,PatchTST,ETTm2,720,3408,100,64,pending
156,PatchTST,ETTm2,720,3409,100,64,pending
157,PatchTST,Weather,96,3407,100,64,pending
158,PatchTST,Weather,96,3408,100,64,pending
159,PatchTST,Weather,96,3409,100,64,pending
160,PatchTST,Weather,192,3407,100,64,pending
161,PatchTST,Weather,192,3408,100,64,pending
162,PatchTST,Weather,192,3409,100,64,pending
163,PatchTST,Weather,336,3407,100,64,pending
164,PatchTST,Weather,336,3408,100,64,pending
165,PatchTST,Weather,336,3409,100,64,pending
166,PatchTST,Weather,720,3407,100,64,pending
167,PatchTST,Weather,720,3408,100,64,pending
168,PatchTST,Weather,720,3409,100,64,pending
169,PatchTST,Electricity,96,3407,100,16,pending
170,PatchTST,Electricity,96,3408,100,16,pending
171,PatchTST,Electricity,96,3409,100,16,pending
172,PatchTST,Electricity,192,3407,100,16,pending
173,PatchTST,Electricity,192,3408,100,16,pending
174,PatchTST,Electricity,192,3409,100,16,pending
175,PatchTST,Electricity,336,3407,100,16,pending
176,PatchTST,Electricity,336,3408,100,16,pending
177,PatchTST,Electricity,336,3409,100,16,pending
178,PatchTST,Electricity,720,3407,100,16,pending
179,PatchTST,Electricity,720,3408,100,16,pending
180,PatchTST,Electricity,720,3409,100,16,pending
181,PatchTST,ILI,24,3407,100,64,pending
182,PatchTST,ILI,24,3408,100,64,pending
183,PatchTST,ILI,24,3409,100,64,pending
184,PatchTST,ILI,36,3407,100,64,pending
185,PatchTST,ILI,36,3408,100,64,pending
186,PatchTST,ILI,36,3409,100,64,pending
187,PatchTST,ILI,48,3407,100,64,pending
188,PatchTST,ILI,48,3408,100,64,pending
189,PatchTST,ILI,48,3409,100,64,pending
190,PatchTST,ILI,60,3407,100,64,pending
191,PatchTST,ILI,60,3408,100,64,pending
192,PatchTST,ILI,60,3409,100,64,pending
193,PatchTST,ExchangeRate,96,3407,100,64,pending
194,PatchTST,ExchangeRate,96,3408,100,64,pending
195,PatchTST,ExchangeRate,96,3409,100,64,pending
196,PatchTST,ExchangeRate,192,3407,100,64,pending
197,PatchTST,ExchangeRate,192,3408,100,64,pending
198,PatchTST,ExchangeRate,192,3409,100,64,pending
199,PatchTST,ExchangeRate,336,3407,100,64,pending
200,PatchTST,ExchangeRate,336,3408,100,64,pending
201,PatchTST,ExchangeRate,336,3409,100,64,pending
202,PatchTST,ExchangeRate,720,3407,100,64,pending
203,PatchTST,ExchangeRate,720,3408,100,64,pending
204,PatchTST,ExchangeRate,720,3409,100,64,pending
205,PatchTST,Traffic,96,3407,100,8,pending
206,PatchTST,Traffic,96,3408,100,8,pending
207,PatchTST,Traffic,96,3409,100,8,pending
208,PatchTST,Traffic,192,3407,100,8,pending
209,PatchTST,Traffic,192,3408,100,8,pending
210,PatchTST,Traffic,192,3409,100,8,pending
211,PatchTST,Traffic,336,3407,100,8,pending
212,PatchTST,Traffic,336,3408,100,8,pending
213,PatchTST,Traffic,336,3409,100,8,pending
214,PatchTST,Traffic,720,3407,100,8,pending
215,PatchTST,Traffic,720,3408,100,8,pending
216,PatchTST,Traffic,720,3409,100,8,pending
217,TimesNet,ETTh1,96,3407,10,32,pending
218,TimesNet,ETTh1,96,3408,10,32,pending
219,TimesNet,ETTh1,96,3409,10,32,pending
220,TimesNet,ETTh1,192,3407,10,32,pending
221,TimesNet,ETTh1,192,3408,10,32,pending
222,TimesNet,ETTh1,192,3409,10,32,pending
223,TimesNet,ETTh1,336,3407,10,32,pending
224,TimesNet,ETTh1,336,3408,10,32,pending
225,TimesNet,ETTh1,336,3409,10,32,pending
