index,model,dataset,horizon,seed,epochs,batch_size,status
531,TimeMixer,Traffic,96,3409,10,8,pending
532,TimeMixer,Traffic,192,3407,10,8,pending
533,TimeMixer,Traffic,192,3408,10,8,pending
534,TimeMixer,Traffic,192,3409,10,8,pending
535,TimeMixer,Traffic,336,3407,10,8,pending
536,TimeMixer,Traffic,336,3408,10,8,pending
537,TimeMixer,Traffic,336,3409,10,8,pending
538,TimeMixer,Traffic,720,3407,10,8,pending
539,TimeMixer,Traffic,720,3408,10,8,pending
540,TimeMixer,Traffic,720,3409,10,8,pending
541,WPMixer,ETTh1,96,3407,10,64,pending
542,WPMixer,ETTh1,96,3408,10,64,pending
543,WPMixer,ETTh1,96,3409,10,64,pending
544,WPMixer,ETTh1,192,3407,10,64,pending
545,WPMixer,ETTh1,192,3408,10,64,pending
546,WPMixer,ETTh1,192,3409,10,64,pending
547,WPMixer,ETTh1,336,3407,10,64,pending
548,WPMixer,ETTh1,336,3408,10,64,pending
549,WPMixer,ETTh1,336,3409,10,64,pending
550,WPMixer,ETTh1,720,3407,10,64,pending
551,WPMixer,ETTh1,720,3408,10,64,pending
552,WPMixer,ETTh1,720,3409,10,64,pending
553,WPMixer,ETTh2,96,3407,10,64,pending
554,WPMixer,ETTh2,96,3408,10,64,pending
555,WPMixer,ETTh2,96,3409,10,64,pending
556,WPMixer,ETTh2,192,3407,10,64,pending
557,WPMixer,ETTh2,192,3408,10,64,pending
558,WPMixer,ETTh2,192,3409,10,64,pending
559,WPMixer,ETTh2,336,3407,10,64,pending
560,WPMixer,ETTh2,336,3408,10,64,pending
561,WPMixer,ETTh2,336,3409,10,64,pending
562,WPMixer,ETTh2,720,3407,10,64,pending
563,WPMixer,ETTh2,720,3408,10,64,pending
564,WPMixer,ETTh2,720,3409,10,64,pending
565,WPMixer,ETTm1,96,3407,10,64,pending
566,WPMixer,ETTm1,96,3408,10,64,pending
567,WPMixer,ETTm1,96,3409,10,64,pending
568,WPMixer,ETTm1,192,3407,10,64,pending
569,WPMixer,ETTm1,192,3408,10,64,pending
570,WPMixer,ETTm1,192,3409,10,64,pending
571,WPMixer,ETTm1,336,3407,10,64,pending
572,WPMixer,ETTm1,336,3408,10,64,pending
573,WPMixer,ETTm1,336,3409,10,64,pending
574,WPMixer,ETTm1,720,3407,10,64,pending
575,WPMixer,ETTm1,720,3408,10,64,pending
576,WPMixer,ETTm1,720,3409,10,64,pending
577,WPMixer,ETTm2,96,3407,10,64,pending
578,WPMixer,ETTm2,96,3408,10,64,pending
579,WPMixer,ETTm2,96,3409,10,64,pending
580,WPMixer,ETTm2,192,3407,10,64,pending
581,WPMixer,ETTm2,192,3408,10,64,pending
582,WPMixer,ETTm2,192,3409,10,64,pending
583,WPMixer,ETTm2,336,3407,10,64,pending
584,WPMixer,ETTm2,336,3408,10,64,pending
585,WPMixer,ETTm2,336,3409,10,64,pending
586,WPMixer,ETTm2,720,3407,10,64,pending
587,WPMixer,ETTm2,720,3408,10,64,pending
588,WPMixer,ETTm2,720,3409,10,64,pending
589,WPMixer,Weather,96,3407,10,64,pending
590,WPMixer,Weather,96,3408,10,64,pending
591,WPMixer,Weather,96,3409,10,64,pending
592,WPMixer,Weather,192,3407,10,64,pending
593,WPMixer,Weather,192,3408,10,64,pending
594,WPMixer,Weather,192,3409,10,64,pending
595,WPMixer,Weather,336,3407,10,64,pending
596,WPMixer,Weather,336,3408,10,64,pending
597,WPMixer,Weather,336,3409,10,64,pending
598,WPMixer,Weather,720,3407,10,64,pending
599,WPMixer,Weather,720,3408,10,64,pending
600,WPMixer,Weather,720,3409,10,64,pending
601,WPMixer,Electricity,96,3407,10,16,pending
602,WPMixer,Electricity,96,3408,10,16,pending
603,WPMixer,Electricity,96,3409,10,16,pending
604,WPMixer,Electricity,192,3407,10,16,pending
605,WPMixer,Electricity,192,3408,10,16,pending
606,WPMixer,Electricity,192,3409,10,16,pending
607,WPMixer,Electricity,336,3407,10,16,pending
608,WPMixer,Electricity,336,3408,10,16,pending
609,WPMixer,Electricity,336,3409,10,16,pending
610,WPMixer,Electricity,720,3407,10,16,pending
611,WPMixer,Electricity,720,3408,10,16,pending
612,WPMixer,Electricity,720,3409,10,16,pending
613,WPMixer,ILI,24,3407,10,64,pending
614,WPMixer,ILI,24,3408,10,64,pending
615,WPMixer,ILI,24,3409,10,64,pending
616,WPMixer,ILI,36,3407,10,64,pending
617,WPMixer,ILI,36,3408,10,64,pending
618,WPMixer,ILI,36,3409,10,64,pending
619,WPMixer,ILI,48,3407,10,64,pending
620,WPMixer,ILI,48,3408,10,64,pending
621,WPMixer,ILI,48,3409,10,64,pending
622,WPMixer,ILI,60,3407,10,64,pending
623,WPMixer,ILI,60,3408,10,64,pending
624,WPMixer,ILI,60,3409,10,64,pending
625,WPMixer,ExchangeRate,96,3407,10,64,pending
626,WPMixer,ExchangeRate,96,3408,10,64,pending
627,WPMixer,ExchangeRate,96,3409,10,64,pending
628,WPMixer,ExchangeRate,192,3407,10,64,pending
629,WPMixer,ExchangeRate,192,3408,10,64,pending
630,WPMixer,ExchangeRate,192,3409,10,64,pending
631,WPMixer,ExchangeRate,336,3407,10,64,pending
632,WPMixer,ExchangeRate,336,3408,10,64,pending
633,WPMixer,ExchangeRate,336,3409,10,64,pending
634,WPMixer,ExchangeRate,720,3407,10,64,pending
635,WPMixer,ExchangeRate,720,3408,10,64,pending
636,WPMixer,ExchangeRate,720,3409,10,64,pending
637,WPMixer,Traffic,96,3407,10,8,pending
638,WPMixer,Traffic,96,3408,10,8,pending
639,WPMixer,Traffic,96,3409,10,8,pending
640,WPMixer,Traffic,192,3407,10,8,pending
641,WPMixer,Traffic,192,3408,10,8,pending
642,WPMixer,Traffic,192,3409,10,8,pending
643,WPMixer,Traffic,336,3407,10,8,pending
644,WPMixer,Traffic,336,3408,10,8,pending
645,WPMixer,Traffic,336,3409,10,8,pending
646,WPMixer,Traffic,720,3407,10,8,pending
647,WPMixer,Traffic,720,3408,10,8,pending
648,WPMixer,Traffic,720,3409,10,8,pending
649,TimeFilter,ETTh1,96,3407,10,32,pending
650,TimeFilter,ETTh1,96,3408,10,32,pending
651,TimeFilter,ETTh1,96,3409,10,32,pending
652,TimeFilter,ETTh1,192,3407,10,32,pending
653,TimeFilter,ETTh1,192,3408,10,32,pending
654,TimeFilter,ETTh1,192,3409,10,32,pending
655,TimeFilter,ETTh1,336,3407,10,32,pending
656,TimeFilter,ETTh1,336,3408,10,32,pending
657,TimeFilter,ETTh1,336,3409,10,32,pending
658,TimeFilter,ETTh1,720,3407,10,32,pending
659,TimeFilter,ETTh1,720,3408,10,32,pending
660,TimeFilter,ETTh1,720,3409,10,32,pending
661,TimeFilter,ETTh2,96,3407,10,32,pending
662,TimeFilter,ETTh2,96,3408,10,32,pending
663,TimeFilter,ETTh2,96,3409,10,32,pending
664,TimeFilter,ETTh2,192,3407,10,32,pending
665,TimeFilter,ETTh2,192,3408,10,32,pending
666,TimeFilter,ETTh2,192,3409,10,32,pending
667,TimeFilter,ETTh2,336,3407,10,32,pending
668,TimeFilter,ETTh2,336,3408,10,32,pending
669,TimeFilter,ETTh2,336,3409,10,32,pending
670,TimeFilter,ETTh2,720,3407,10,32,pending
671,TimeFilter,ETTh2,720,3408,10,32,pending
672,TimeFilter,ETTh2,720,3409,10,32,pending
673,TimeFilter,ETTm1,96,3407,10,32,pending
674,TimeFilter,ETTm1,96,3408,10,32,pending
675,TimeFilter,ETTm1,96,3409,10,32,pending
676,TimeFilter,ETTm1,192,3407,10,32,pending
677,TimeFilter,ETTm1,192,3408,10,32,pending
678,TimeFilter,ETTm1,192,3409,10,32,pending
679,TimeFilter,ETTm1,336,3407,10,32,pending
680,TimeFilter,ETTm1,336,3408,10,32,pending
681,TimeFilter,ETTm1,336,3409,10,32,pending
682,TimeFilter,ETTm1,720,3407,10,32,pending
683,TimeFilter,ETTm1,720,3408,10,32,pending
684,TimeFilter,ETTm1,720,3409,10,32,pending
685,TimeFilter,ETTm2,96,3407,10,32,pending
686,TimeFilter,ETTm2,96,3408,10,32,pending
687,TimeFilter,ETTm2,96,3409,10,32,pending
688,TimeFilter,ETTm2,192,3407,10,32,pending
689,TimeFilter,ETTm2,192,3408,10,32,pending
690,TimeFilter,ETTm2,192,3409,10,32,pending
691,TimeFilter,ETTm2,336,3407,10,32,pending
692,TimeFilter,ETTm2,336,3408,10,32,pending
693,TimeFilter,ETTm2,336,3409,10,32,pending
694,TimeFilter,ETTm2,720,3407,10,32,pending
695,TimeFilter,ETTm2,720,3408,10,32,pending
696,TimeFilter,ETTm2,720,3409,10,32,pending
697,TimeFilter,Weather,96,3407,10,32,pending
698,TimeFilter,Weather,96,3408,10,32,pending
699,TimeFilter,Weather,96,3409,10,32,pending
700,TimeFilter,Weather,192,3407,10,32,pending
701,TimeFilter,Weather,192,3408,10,32,pending
702,TimeFilter,Weather,192,3409,10,32,pending
703,TimeFilter,Weather,336,3407,10,32,pending
704,TimeFilter,Weather,336,3408,10,32,pending
705,TimeFilter,Weather,336,3409,10,32,pending
706,TimeFilter,Weather,720,3407,10,32,pending
707,TimeFilter,Weather,720,3408,10,32,pending
708,TimeFilter,Weather,720,3409,10,32,pending
709,TimeFilter,Electricity,96,3407,10,16,pending
710,TimeFilter,Electricity,96,3408,10,16,pending
711,TimeFilter,Electricity,96,3409,10,16,pending
712,TimeFilter,Electricity,192,3407,10,16,pending
713,TimeFilter,Electricity,192,3408,10,16,pending
714,TimeFilter,Electricity,192,3409,10,16,pending
715,TimeFilter,Electricity,336,3407,10,16,pending
716,TimeFilter,Electricity,336,3408,10,16,pending
717,TimeFilter,Electricity,336,3409,10,16,pending
718,TimeFilter,Electricity,720,3407,10,16,pending
719,TimeFilter,Electricity,720,3408,10,16,pending
720,TimeFilter,Electricity,720,3409,10,16,pending
721,TimeFilter,ILI,24,3407,10,32,pending
722,TimeFilter,ILI,24,3408,10,32,pending
723,TimeFilter,ILI,24,3409,10,32,pending
724,TimeFilter,ILI,36,3407,10,32,pending
725,TimeFilter,ILI,36,3408,10,32,pending
726,TimeFilter,ILI,36,3409,10,32,pending
727,TimeFilter,ILI,48,3407,10,32,pending
728,TimeFilter,ILI,48,3408,10,32,pending
729,TimeFilter,ILI,48,3409,10,32,pending
730,TimeFilter,ILI,60,3407,10,32,pending
731,TimeFilter,ILI,60,3408,10,32,pending
732,TimeFilter,ILI,60,3409,10,32,pending
733,TimeFilter,ExchangeRate,96,3407,10,32,pending
734,TimeFilter,ExchangeRate,96,3408,10,32,pending
735,TimeFilter,ExchangeRate,96,3409,10,32,pending
736,TimeFilter,ExchangeRate,192,3407,10,32,pending
737,TimeFilter,ExchangeRate,192,3408,10,32,pending
738,TimeFilter,ExchangeRate,192,3409,10,32,pending
739,TimeFilter,ExchangeRate,336,3407,10,32,pending
740,TimeFilter,ExchangeRate,336,3408,10,32,pending
741,TimeFilter,ExchangeRate,336,3409,10,32,pending
742,TimeFilter,ExchangeRate,720,3407,10,32,pending
743,TimeFilter,ExchangeRate,720,3408,10,32,pending
744,TimeFilter,ExchangeRate,720,3409,10,32,pending
745,TimeFilter,Traffic,96,3407,10,8,pending
746,TimeFilter,Traffic,96,3408,10,8,pending
747,TimeFilter,Traffic,96,3409,10,8,pending
748,TimeFilter,Traffic,192,3407,10,8,pending
749,TimeFilter,Traffic,192,3408,10,8,pending
750,TimeFilter,Traffic,192,3409,10,8,pending
751,TimeFilter,Traffic,336,3407,10,8,pending
752,TimeFilter,Traffic,336,3408,10,8,pending
753,TimeFilter,Traffic,336,3409,10,8,pending
754,TimeFilter,Traffic,720,3407,10,8,pending
755,TimeFilter,Traffic,720,3408,10,8,pending
756,TimeFilter,Traffic,720,3409,10,8,pending
757,MultiPatchFormer,ETTh1,96,3407,20,32,pending
758,MultiPatchFormer,ETTh1,96,3408,20,32,pending
759,MultiPatchFormer,ETTh1,96,3409,20,32,pending
760,MultiPatchFormer,ETTh1,192,3407,20,32,pending
761,MultiPatchFormer,ETTh1,192,3408,20,32,pending
762,MultiPatchFormer,ETTh1,192,3409,20,32,pending
763,MultiPatchFormer,ETTh1,336,3407,20,32,pending
764,MultiPatchFormer,ETTh1,336,3408,20,32,pending
765,MultiPatchFormer,ETTh1,336,3409,20,32,pending
766,MultiPatchFormer,ETTh1,720,3407,20,32,pending
767,MultiPatchFormer,ETTh1,720,3408,20,32,pending
768,MultiPatchFormer,ETTh1,720,3409,20,32,pending
769,MultiPatchFormer,ETTh2,96,3407,20,32,pending
770,MultiPatchFormer,ETTh2,96,3408,20,32,pending
771,MultiPatchFormer,ETTh2,96,3409,20,32,pending
772,MultiPatchFormer,ETTh2,192,3407,20,32,pending
773,MultiPatchFormer,ETTh2,192,3408,20,32,pending
774,MultiPatchFormer,ETTh2,192,3409,20,32,pending
775,MultiPatchFormer,ETTh2,336,3407,20,32,pending
776,MultiPatchFormer,ETTh2,336,3408,20,32,pending
777,MultiPatchFormer,ETTh2,336,3409,20,32,pending
778,MultiPatchFormer,ETTh2,720,3407,20,32,pending
779,MultiPatchFormer,ETTh2,720,3408,20,32,pending
780,MultiPatchFormer,ETTh2,720,3409,20,32,pending
781,MultiPatchFormer,ETTm1,96,3407,20,32,pending
782,MultiPatchFormer,ETTm1,96,3408,20,32,pending
783,MultiPatchFormer,ETTm1,96,3409,20,32,pending
784,MultiPatchFormer,ETTm1,192,3407,20,32,pending
785,MultiPatchFormer,ETTm1,192,3408,20,32,pending
786,MultiPatchFormer,ETTm1,192,3409,20,32,pending
787,MultiPatchFormer,ETTm1,336,3407,20,32,pending
788,MultiPatchFormer,ETTm1,336,3408,20,32,pending
789,MultiPatchFormer,ETTm1,336,3409,20,32,pending
790,MultiPatchFormer,ETTm1,720,3407,20,32,pending
791,MultiPatchFormer,ETTm1,720,3408,20,32,pending
792,MultiPatchFormer,ETTm1,720,3409,20,32,pending
793,MultiPatchFormer,ETTm2,96,3407,20,32,pending
794,MultiPatchFormer,ETTm2,96,3408,20,32,pending
795,MultiPatchFormer,ETTm2,96,3409,20,32,pending
796,MultiPatchFormer,ETTm2,192,3407,20,32,pending
797,MultiPatchFormer,ETTm2,192,3408,20,32,pending
798,MultiPatchFormer,ETTm2,192,3409,20,32,pending
799,MultiPatchFormer,ETTm2,336,3407,20,32,pending
800,MultiPatchFormer,ETTm2,336,3408,20,32,pending
801,MultiPatchFormer,ETTm2,336,3409,20,32,pending
802,MultiPatchFormer,ETTm2,720,3407,20,32,pending
803,MultiPatchFormer,ETTm2,720,3408,20,32,pending
804,MultiPatchFormer,ETTm2,720,3409,20,32,pending
805,MultiPatchFormer,Weather,96,3407,20,32,pending
806,MultiPatchFormer,Weather,96,3408,20,32,pending
807,MultiPatchFormer,Weather,96,3409,20,32,pending
808,MultiPatchFormer,Weather,192,3407,20,32,pending
809,MultiPatchFormer,Weather,192,3408,20,32,pending
810,MultiPatchFormer,Weather,192,3409,20,32,pending
811,MultiPatchFormer,Weather,336,3407,20,32,pending
812,MultiPatchFormer,Weather,336,3408,20,32,pending
813,MultiPatchFormer,Weather,336,3409,20,32,pending
814,MultiPatchFormer,Weather,720,3407,20,32,pending
815,MultiPatchFormer,Weather,720,3408,20,32,pending
816,MultiPatchFormer,Weather,720,3409,20,32,pending
817,MultiPatchFormer,Electricity,96,3407,20,16,pending
818,MultiPatchFormer,Electricity,96,3408,20,16,pending
819,MultiPatchFormer,Electricity,96,3409,20,16,pending
820,MultiPatchFormer,Electricity,192,3407,20,16,pending
821,MultiPatchFormer,Electricity,192,3408,20,16,pending
822,MultiPatchFormer,Electricity,192,3409,20,16,pending
823,MultiPatchFormer,Electricity,336,3407,20,16,pending
824,MultiPatchFormer,Electricity,336,3408,20,16,pending
825,MultiPatchFormer,Electricity,336,3409,20,16,pending
826,MultiPatchFormer,Electricity,720,3407,20,16,pending
827,MultiPatchFormer,Electricity,720,3408,20,16,pending
828,MultiPatchFormer,Electricity,720,3409,20,16,pending
829,MultiPatchFormer,ILI,24,3407,20,32,pending
830,MultiPatchFormer,ILI,24,3408,20,32,pending
831,MultiPatchFormer,ILI,24,3409,20,32,pending
832,MultiPatchFormer,ILI,36,3407,20,32,pending
833,MultiPatchFormer,ILI,36,3408,20,32,pending
834,MultiPatchFormer,ILI,36,3409,20,32,pending
835,MultiPatchFormer,ILI,48,3407,20,32,pending
836,MultiPatchFormer,ILI,48,3408,20,32,pending
837,MultiPatchFormer,ILI,48,3409,20,32,pending
838,MultiPatchFormer,ILI,60,3407,20,32,pending
839,MultiPatchFormer,ILI,60,3408,20,32,pending
840,MultiPatchFormer,ILI,60,3409,20,32,pending
841,MultiPatchFormer,ExchangeRate,96,3407,20,32,pending
842,MultiPatchFormer,ExchangeRate,96,3408,20,32,pending
843,MultiPatchFormer,ExchangeRate,96,3409,20,32,pending
844,MultiPatchFormer,ExchangeRate,192,3407,20,32,pending
845,MultiPatchFormer,ExchangeRate,192,3408,20,32,pending
846,MultiPatchFormer,ExchangeRate,192,3409,20,32,pending
847,MultiPatchFormer,ExchangeRate,336,3407,20,32,pending
848,MultiPatchFormer,ExchangeRate,336,3408,20,32,pending
849,MultiPatchFormer,ExchangeRate,336,3409,20,32,pending
850,MultiPatchFormer,ExchangeRate,720,3407,20,32,pending
851,MultiPatchFormer,ExchangeRate,720,3408,20,32,pending
852,MultiPatchFormer,ExchangeRate,720,3409,20,32,pending
853,MultiPatchFormer,Traffic,96,3407,20,8,pending
854,MultiPatchFormer,Traffic,96,3408,20,8,pending
855,MultiPatchFormer,Traffic,96,3409,20,8,pending
856,MultiPatchFormer,Traffic,192,3407,20,8,pending
857,MultiPatchFormer,Traffic,192,3408,20,8,pending
858,MultiPatchFormer,Traffic,192,3409,20,8,pending
859,MultiPatchFormer,Traffic,336,3407,20,8,pending
860,MultiPatchFormer,Traffic,336,3408,20,8,pending
861,MultiPatchFormer,Traffic,336,3409,20,8,pending
862,MultiPatchFormer,Traffic,720,3407,20,8,pending
863,MultiPatchFormer,Traffic,720,3408,20,8,pending
864,MultiPatchFormer,Traffic,720,3409,20,8,pending
