dataset,model,axis,capacity_parameter,candidates,n_windows,best_fixed_capacity,best_fixed_mse,per_window_oracle_mse,oracle_gain_pct,best_fixed_optimal_windows,best_fixed_optimal_pct,best_fixed_suboptimal_windows,best_fixed_suboptimal_pct,max_any_fixed_optimal_windows,max_any_fixed_optimal_pct,distinct_window_optima,capacity_switches,disjoint_n_windows,disjoint_best_fixed_capacity,disjoint_oracle_gain_pct,disjoint_fixed_suboptimal_pct,disjoint_distinct_window_optima
ETTh1,PatchTST,depth,num_layers,"1,2,3,4,5",142,5,0.46566572987052307,0.4511348953657948,3.1204431790092233,52,36.61971830985916,90,63.38028169014085,54,38.028169014084504,5,66,36,5,3.271138155213972,55.55555555555556,4
ETTh1,PatchTST,width,d_model,"4,8,16,32,64",142,64,0.46957889360462773,0.4490742842959759,4.366595174508874,40,28.169014084507044,102,71.83098591549296,43,30.28169014084507,5,87,36,64,5.468395530902724,72.22222222222221,5
ETTh1,TimeMixer,depth,num_layers,"1,2,3,4,5",142,3,0.4443066124017102,0.4211825549363179,5.204526968526229,34,23.943661971830984,108,76.05633802816901,43,30.28169014084507,5,90,36,2,4.496554426240925,86.11111111111111,5
ETTh1,TimeMixer,width,d_model,"4,8,16,32,64",142,16,0.4447279637152918,0.426809075509658,4.029179558653784,34,23.943661971830984,108,76.05633802816901,34,23.943661971830984,5,102,36,16,3.5499495181998344,72.22222222222221,5
ETTh1,MultiPatchFormer,depth,num_layers,"1,2,3,4,5",142,1,0.4472893176205231,0.4225327035556338,5.53481004120304,34,23.943661971830984,108,76.05633802816901,49,34.50704225352113,5,79,36,1,6.766947877314456,86.11111111111111,5
ETTh1,MultiPatchFormer,width,d_model,"64,128,256,512,1024",142,256,0.4472893176205231,0.4282582569056338,4.254754130085242,36,25.352112676056336,106,74.64788732394366,36,25.352112676056336,5,90,36,256,5.158655238838654,69.44444444444444,5
